workLat,workLong,workTweets,homeLat,homeLong,homeTweets,#tweets,userID,homeCountry,workCountry,homeCanton,workCanton,distance,closer to home,closer to work,routeTime
45.89,9.65,91.0,45.89,9.65,11.0,102,128551330,Italia,Italia,-,-,0.0,"('Varese', 64.25017405126252)","('Varese', 64.25017405126252)",0.0
45.93,6.93,46.0,45.93,6.93,45.0,102,195830316,France,France,-,-,0.0,"('Sion', 46.73342871764081)","('Sion', 46.73342871764081)",0.0
47.75,6.01,67.0,47.75,6.01,34.0,102,1020031646,France,France,-,-,0.0,"('Pontarlier', 97.59852409728238)","('Pontarlier', 97.59852409728238)",0.0
47.45,8.56,11.0,47.43,9.37,91.0,102,575058945,Suisse,Suisse,Sankt Gallen,Zürich,60.92052101885536,"('Zurich', 62.080527503138576)","('Zurich', 9.290544964856952)",54.083333333333336
47.37,8.53,37.0,47.37,8.53,49.0,102,1021427894,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 1.5500803336139959)","('Zurich', 1.5500803336139959)",0.0
47.49,6.74,44.0,47.49,6.74,19.0,102,337922522,France,France,-,-,0.0,"('Mulhouse', 53.00638593280465)","('Mulhouse', 53.00638593280465)",0.0
45.84,9.24,74.0,45.84,9.24,14.0,103,3937761017,Italia,Italia,-,-,0.0,"('Varese', 32.122634055457965)","('Varese', 32.122634055457965)",0.0
47.72,7.36,19.0,47.72,7.36,84.0,103,2557421676,France,France,-,-,0.0,"('Mulhouse', 3.885355753986249)","('Mulhouse', 3.885355753986249)",0.0
47.76,7.35,87.0,47.76,7.35,14.0,103,2179318515,France,France,-,-,0.0,"('Mulhouse', 1.6707821070231623)","('Mulhouse', 1.6707821070231623)",0.0
45.89,10.2,13.0,45.89,10.2,69.0,103,331427640,Italia,Italia,-,-,0.0,"('Varese', 106.61615142259308)","('Varese', 106.61615142259308)",0.0
45.8,9.09,62.0,45.8,9.09,23.0,103,498772160,Italia,Italia,-,-,0.0,"('Varese', 20.511984267492977)","('Varese', 20.511984267492977)",0.0
47.72,7.28,40.0,47.72,7.28,60.0,103,1058879996,France,France,-,-,0.0,"('Mulhouse', 5.1944798445368106)","('Mulhouse', 5.1944798445368106)",0.0
46.45,6.87,19.0,46.44,6.87,28.0,103,1030556149,Suisse,Suisse,Vaud,Vaud,1.1112511347454275,"('Lausanne', 18.693601448513782)","('Lausanne', 18.099677841140018)",2.8333333333333335
45.86,8.86,26.0,45.86,8.86,72.0,103,2237868858,Italia,Italia,-,-,0.0,"('Varese', 5.382075569971574)","('Varese', 5.382075569971574)",0.0
47.74,7.41,45.0,47.74,7.41,47.0,103,586489673,France,France,-,-,0.0,"('Mulhouse', 5.838068396052178)","('Mulhouse', 5.838068396052178)",0.0
45.76,9.85,45.0,45.76,9.85,20.0,103,1672646767,Italia,Italia,-,-,0.0,"('Varese', 79.57413923238255)","('Varese', 79.57413923238255)",0.0
46.26,6.1,30.0,46.26,6.1,61.0,103,752013032,France,France,-,-,0.0,"('Geneva', 8.411052877550512)","('Geneva', 8.411052877550512)",0.0
45.92,6.6,27.0,45.92,6.6,76.0,103,1884315576,France,France,-,-,0.0,"('Annecy', 37.43447045959481)","('Annecy', 37.43447045959481)",0.0
47.2,7.0,43.0,47.21,7.0,15.0,103,2920633161,Suisse,Suisse,Jura,Jura,1.1112511347447205,"('Bern', 48.06608096814014)","('Bern', 47.322087228544305)",1.9166666666666667
46.18,6.14,75.0,46.18,6.14,28.0,103,1704084872,Suisse,Suisse,Genève,Genève,0.0,"('Geneva', 3.0262837628966204)","('Geneva', 3.0262837628966204)",0.0
45.86,9.43,89.0,45.86,9.43,14.0,103,516565969,Italia,Italia,-,-,0.0,"('Varese', 46.96667880484449)","('Varese', 46.96667880484449)",0.0
47.23,6.01,27.0,47.23,6.01,14.0,103,51402268,France,France,-,-,0.0,"('Pontarlier', 44.720426715861244)","('Pontarlier', 44.720426715861244)",0.0
46.2,9.03,11.0,46.19,9.03,35.0,103,239852906,Suisse,Suisse,Ticino,Ticino,1.1112511347454275,"('Varese', 44.26656597538193)","('Varese', 45.306651752291046)",5.816666666666666
46.54,6.62,12.0,46.52,6.63,35.0,103,214518344,Suisse,Suisse,Vaud,Vaud,2.35031825238657,"('Lausanne', 3.17137909633806)","('Lausanne', 3.6466521796542994)",6.066666666666666
45.98,6.18,18.0,45.98,6.18,13.0,103,508095633,France,France,-,-,0.0,"('Annecy', 10.14695693869224)","('Annecy', 10.14695693869224)",0.0
46.53,6.41,45.0,46.53,6.41,58.0,103,1720284968,Suisse,Suisse,Vaud,Vaud,0.0,"('Lausanne', 19.627860613507377)","('Lausanne', 19.627860613507377)",0.0
46.09,7.9,47.0,46.09,7.9,32.0,103,493386984,Suisse,Suisse,Valais - Wallis,Valais - Wallis,0.0,"('Sion', 45.22841227836798)","('Sion', 45.22841227836798)",0.0
45.81,8.78,41.0,45.81,8.78,33.0,103,2270460189,Italia,Italia,-,-,0.0,"('Varese', 3.6917370531766593)","('Varese', 3.6917370531766593)",0.0
45.88,9.89,21.0,45.88,9.89,38.0,103,403842770,Italia,Italia,-,-,0.0,"('Varese', 82.61849046220914)","('Varese', 82.61849046220914)",0.0
46.95,7.44,85.0,46.95,7.44,16.0,103,1869145579,Suisse,Suisse,Bern - Berne,Bern - Berne,0.0,"('Bern', 4.2188015742827165)","('Bern', 4.2188015742827165)",0.0
47.75,7.33,28.0,47.75,7.33,49.0,103,555132837,France,France,-,-,0.0,"('Mulhouse', 0.2465655646310726)","('Mulhouse', 0.2465655646310726)",0.0
45.8,6.66,62.0,45.8,6.66,18.0,103,2611458520,France,France,-,-,0.0,"('Annecy', 43.49641574059454)","('Annecy', 43.49641574059454)",0.0
45.92,6.87,59.0,45.92,6.87,19.0,103,214089003,France,France,-,-,0.0,"('Sion', 50.80580595438094)","('Sion', 50.80580595438094)",0.0
45.85,6.1,31.0,45.85,6.1,51.0,103,159473356,France,France,-,-,0.0,"('Annecy', 5.704504113384962)","('Annecy', 5.704504113384962)",0.0
